"@MohamadAlarefe ?? ??? ???? ???","so"
"@nedsattsyn va? Jag brukar alltid tänka på sånt haha! Vad sa han?","sv"
"@diablomiel @tsinitarunner nakakagalit si lovi. Crush ko pa man din yang si rocco! Haha.","id"
"?????????/???/???/??? ???????2??????????????????????(??`)","ja"
"7apels manquer delle ahah","fr"
"???????????(*´??*)??????","ja"
"Nyel cang @agusbayuputra: Kok galak ci ming?“@komingyaoming: Merekak ! @ariiksubratha: Lucu tuh yg edit wkwk RT @komingyaoming","tl"
"????????????????????????????????????","ja"
"@Haneeyisme angau Hannn! Hahaha au cute cute ?","id"
"?????????????????????","ja"
"RT@DoaIndah "Ya Allah hadirkanlah wajah penuh cahaya, hati yang tenang dan 'Amal yang terbaik bagi yg mbaca twit ini."","id"
"RT @sonyaJKT48: Wew. No more free time till the end of this month. But i don't mind :D let's work out! And give the best!","en"
"??????????????????(??????????)????????????&????????????????????????????????????????????","ja"
"???????????????????????","ja"
"?????????????????? http://t.co/MMbacxxH","ja"
"@ive_chan27 ????????(?^?)?","ja"
"RT @rachaelwillis14: Wahayyyyyy gotta love my chickss @Fidelma_Mary and @shannonhartree","en"
"The snow better no ruin the plans for tomorrow!!!","en"
"<3 <3 <3 <3 <3
Thank You =))))
<3 <3 <3 <3 <3","en"
"@mrs_fmb03 ????????´)","ja"
"???? ??? ??. ?? ??? ??? ????. #Siho","ko"
"http://t.co/9VJtLsXz  #nowplaying Omfg - No Way!!! -- The almighty I enjoy it when this happens","en"
"302 Bahraini Black Block http://t.co/AWIZdTiH #??????? ???? ????  ?#USA? #NewYork ?... http://t.co/uRXAZ0T9 #14Feb","en"
"?????????(????)","ja"
"Rotura de matriz provocó inundación en Ñuñoa: El hecho se produce en avenida Pedro de Valdivia con Rodrigo de Ar... http://t.co/KNGoiPuE","es"
"????????????????????????????????????","ja"
"????? RT @unyu_unya ????CD??????","ja"
"ngaco @ansullianisanur: Stupid artinya cerdas._."@nazmudin100: Smart artinya pintar."","id"
"Oke kamu mentions terus aku.asal kamu mau aja aku Hore-in yak? ^?^","id"
"but not me just not you it was out u at it out of was out is it do me that we","en"
"RT @GazGShore: 1 week today!! # series5 RT","en"
"???????","ja"
"tgs yg lain banyak bsk. akuntansi mo dibuat di kumpul bsk pagi. kimia ada pr. ekonomi ada pr jg. b inggris jg ada pr astaga","id"
"???????????","ja"
"DTM??????!!!???????????!??????? [ ??1000????] ???????????????????????????(^^) http://t.co/sUab705c","ja"
"RT @Naqshband1: 3 Manzilein 3 Rukaawatein Shaykh Zulfiqar Ahmad 10 FEB 2013: http://t.co/UkKsITQT via @youtube","so"
"?????????????????????????????????????????????????????????????????????????????????????????????????","ja"
"@mamOulitaS http://t.co/rdhyhBnf","tl"
"@ShannonDey When in August & location...what all involved? Thanks:-)","en"
"@koalaswek misschien omdat je me mentionde? qq","nl"
"RT @punirinrin: #?????????????????????RT","ja"
"RT @MDPnews: Breaking News: President Nasheed has confirmed that he has taken refuge at the Indian High Commission https://t.co/IaRKBDLL","en"
"RT @AwwItsCalder: RT and I'll Tweet you a random song.","en"
"RT @ilman_dk: Currently at KMPh","en"
"u one it do your not up your you have be to a was have when get be in when I you so do on all u if with find at for so one me all and its if","en"
"RT @xyoutuberauhl: #unaverabelieber ama quel ragazzo con le supra viola,una fan il bieber che si esibisce a torso nudo.","it"
"@slutkyu I have the cards I want already :)","en"
"@HayleyJaneCross per te.","en"
"RT @with_Noon: ?????? ???? ??? ???? ???? ?? ????? ?? ????","ar"
"@RidhoAnuari  EH KAU TK USAH COMENT* DISINI !","sq"
"I hate my phoneeee.","en"
"1111","unknown"
"@FrancoGlere quee grandee mi broo! Vos si vivis la vida!","it"
"RT @TheLifeDiaries: Don't be so obsessive with a person who is showing less interest in you.","en"
"Jealousy RT @yemi_bash: (˘?˘ ) RT @tchotchovi: ?(˘?˘)? ?(˘.˘)? ?('?'?) (?'?')? ~(','~) (~',')~ ?(˘?˘)? ?(˘.˘)? ?('?'?) (?'?')?","en"
"@Kriishaa Par ko tais?ji? :)","lv"
"Emang gak ada libur buat siswa siswi 2 sleman !","id"
"Someone give me a shoutout? Need more followers! #ahhh","en"
""You ain't got a valentine lolol you must be clapped" I hope your girl is on her period. ?","en"
"10??????????????????????????????????…???????…??????????…?http://t.co/71BUgv0J??RT???#?????? #autofollowjp #followback #??? #AKB48 SMAP/??","ja"
"@BernikeChrisma_ DM ya","id"
"?????????(?q?)","ja"
"??????????????????RT","ja"
"????????????????????????????????(´????)","ja"
