294096249815179266,"RT @igr96: ''Aprenda, o que passou, passou.''",pt,pt
294096249836171264,"RT @flag_st: ????????",ja,pt
294096249815175169,"??????????????????d=(^o^)=b",ja,pt
294096249815179264,"Chargerrr RT "@Dimas_Trisha17: Hahaha kabel data RT @Adwirmdhni: Kan kabel telpon mas:) RT "@Dimas_Trisha17: Nyambung saja-,- RT",en,pt
294096249823584256,"?? ???? ... ??? ?????? ?? ??? ??????.",en,pt
294096249823563776,"????????????????????????????",ja,pt
294096249852936193,"??????????????????????????",ko,pt
294096249815191552,"@shizumaruy0918 ?????P???Artemis?????…(???)",ja,pt
294096249819365376,"He said he dnt wanna go to school tomor anyway .. look at me starting something ..",en,pt
294096249815179265,"Wolesss RT "@Andreyulianto7: becandaaa RT @niingggg: Wkakak apeng bgt lo RT "@Andreyulianto7: iya lohh. hehe RT @niingggg: Senyuman kita mir",en,pt
294096249823580160,"?????????????????????????????????",ja,pt
294096249852936194,"RT @FIL0S0FIA: Si no estuvo contigo en los momentos difíciles, no merece estar en tus mejores momentos.",es,pt
294096249840353281,"Dewasao, sadaro, ngertio",en,pt
294096249827762176,"@devmontgomery i seen you too girl!",en,pt
294096249831960576,"RT @ZIMMERmusique: What happened to magic tapes? 
It's full of not so interesting deep house now. I miss the old days",es,pt
294096249831960578,"Djali i Pikesë quhet... Milan
http://t.co/EANpgF3J",en,pt
294096249831948288,"Anjirr",en,pt
294096249844547584,"Kadang, tidak perlu pergi dan menjauh, cukup diam dan tetap berjalan seperti biasa #quoteoftheday",en,pt
294096249840357376,"@donnadamayanti insyaallah yang ya",id,pt
294096249840357378,"RT @DiahSca: bokap ngeslin anjing kayak lo !td lo blom ngsh duit ke gue bego -_- gue blom nerima !!!td gue ksh lgi ke lo!tot",en,pt
294096249852936192,"xavasca",pt,pt
294096249827753984,"@NadiraAzmi hahaha takde. Esok aku dgn Johan nak pergi masjid sambut maulidur rasul",en,pt
294096249852932097,"??????4???????3???????????2??????????????????????????????",ja,pt
